title,soldprice,link,solddate,bids
Shohei Ohtani 34 Card Lot All Topps Los Angeles Angels FREE S&H,16.50,https://www.ebay.com/itm/256206360052?hash=item3ba716cdf4:g:1LwAAOSw~Udk9OLx&amdata=enc%3AAQAIAAAA0DOWm8InrdvLLtJHSElyiibEX6UXZu0YUw6tQgIU0DTh1adcLRRErbdEOt17B8V3oUImngAeYKBc0V%2BXAr3GLK%2B0G%2B52mSGcFG4a5H7XxB7eJvjyVR6AaRT%2FpvSVy2YUyCNP3tti%2BuGawwOzit1ln1ZCVvcDBIJaaDo0RG3dbkxh68ODObKVkmU2hoF9s6dazFnvoC%2FSGII0p2xGRgJG%2BEoMXy3YnILI%2Ft9qt1p4oamC43wrIB4ah4SIUtRJ4AQ6p6p7hRI0WaxeG9mA4XR3v5w%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",13 bids
2023 Topps Now Shohei Ohtani K's Mike Trout WBC Baseball Card #WBC-71,20.50,https://www.ebay.com/itm/386079763031?hash=item59e425aa57:g:9~sAAOSwmGZk8NQA&amdata=enc%3AAQAIAAAA8L%2BQ43tl0lI7T7xWRfvoW2pWpIdWu9Vi9tHIUNML4kJ4DjaVcoej2oi4B8eLILvAed2Qp1hVmh1eeVEKmca%2FyOs7yQDfIhTURn6OTAjP%2FL5hmhZyXS1xcybNCclwPsJEyY2MK2BSJ911R8ttXYXkF6xXgc%2BFmBV5stlC4k0EeofeBSniwaVWdJYtYkrMP0lwchQVCmP0NhQrsWUMxpiZQdFjx9kFoTmi6O56CbSxytYH4CXM02A%2F8UrxY0NaT9edUClcbwoawf1vby6blxgI9Yqc7aZp3HK0XtiJXiIXbmGNcd0HgPbea7sUY%2BeRn2ftrA%3D%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",8 bids
2023 Topps Chrome Shohei Ohtani Base Card #17 Angels MVP,14.01,https://www.ebay.com/itm/276026495181?hash=item40447610cd:g:cuIAAOSwLClk8out&amdata=enc%3AAQAIAAAA0OmzjZ8JQJ9Zb86Eu%2FH4Q2M0M0mjrh8rm5SP8PlEjsYlanWASBUpytfeiR3596wVAxDAF0lqtXiBq8Ta9vofz4afAESyt1aourOEDz7RA%2Bg69oBAnjyCRwoua%2BM6JVHQpeDLvOBqn0fa3fCWFGjdkCTzby8nKogx9uMxW7IrDv4PYAdNBWKNVGMO9S1GgSSom%2FcTip7MAlXuyO5VntJqSjP2Mo%2BWnJigvLYuzjFmokqlcJKtHlZdco59clr32WWM%2F%2BiBPlQAA24PQEuZbWIg5Z0%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",6 bids
2018 Bowman Chrome Shohei Ohtani Rookie Card RC #1 PSA 10 GEM MINT!,800.00,https://www.ebay.com/itm/204445267039?hash=item2f99e3345f:g:NJAAAOSwzJhk5N0-&amdata=enc%3AAQAIAAAA0MM4lZD7rklK%2FzBBOj8wZIhX%2Bs9dPfotcWcMBMfPpDfN9KXme68bqbjGWECh5%2BTDrnhAAc%2FwcRC6hlnDQxKK%2FM8W9bNq1bNrVqAIJ8En7n9tDNof126M%2BU3NIeJz4ux1NCD1KjlH%2BqZS2zuPD8HiiDfPPu%2FAtlWBz%2ByZI7P73Nj4GR8G2UWMhbYmzoHaaiHeqoPg2%2B12EIuTajoOte7LyKbsQYWrtMrrZWc5pEbJzPFTjjAUsLAa%2FPHhAH7twSuFzRiamGubk3bXPfrk5wE3QiQ%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",NA
2023 Topps Chrome Baseball Shohei Ohtani Base Card AL MVP Buyback #17 Angels,11.50,https://www.ebay.com/itm/175884711523?hash=item28f38bb663:g:73kAAOSwEQ1k8oiF&amdata=enc%3AAQAIAAAA0KpXm%2BQAHWLMGP3GryM0wQ4BuoDfDamnlqymu85R%2FLUvivM%2FRZO0Pyed5uS4mVzieNS2Apwu1LTp2l9LHSetVs51ISMpQfneF31gk3wLo1Gwqw3Rj7OLB9%2F0tLggku%2Fo4lBvS0UvzE47DjcwcQBgEWk7iLultcBTBfG5LLQU8Xm%2FRW62r2pphqnTX%2Fcgh%2FISUFw1eXWgDQqiWWPonBOAdUAlmq04H2hlEBFUChKUZyBYqiShrjdEhA%2BiGM0Eph41058MZ%2FVn%2F3iCdLckqDy89P0%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",2 bids
SHOHEI OHTANI PSA 9 MINT ROOKIE CARD #US1 1ST RC RED JERSEY SP 2018 TOPPS UPDATE,51.04,https://www.ebay.com/itm/166310022684?hash=item26b8d98e1c:g:AAQAAOSwn65k8iS0&amdata=enc%3AAQAIAAAA0AVQlErzEbDU11Nn9DoFbaneg5f8Zv7BEGQ8TsECR77U28V37pGYkOGSkDa%2BWY1BGb2169Ak5%2FKViLmKNVVxQ3H9WF04Xj%2FhqBOaXk%2FMyiQs5TqDNnHd%2B%2BKIidmnqkfyEmUty7ZZtDQCYY5hLacfvbQoyLlmkpy0jCpezzuV6gGjTGzPZ3IXS81g5XpAv19GcRrEwugSIOpEM9eEgJyYQVC6ob0rwq25%2BA8j7Sl55M2TlHPYAvslmMLlqzvQnujOaE0O%2BNNM0eYjIZ2PgZfUtMo%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",16 bids
"4 Topps Flagship Rookie Card RC Lot - Ohtani, Acuna, Soto, Tatis",36.00,https://www.ebay.com/itm/266393215397?hash=item3e0645e1a5:g:xn4AAOSwYqRk7z37&amdata=enc%3AAQAIAAAA0LkRM3sNYWDuqyFSn2K49ksXkDXSJDFLrLmvVt%2FNrc4SEvF8pzEyF%2FioOnuk4jTj8SA22wQB1DoI1sEApN274WF8oBhuIChfqbfveEjX9Nsg2lSV4EuTu0gAejY8Q3SHuRPt0OXFaCTJ0lfWmtrWnVKGL%2BnGYb8wWccCmAAD0LVSskNsCJSJznOOGbPmF9MKMdVwIrB4ZYjI9SZbwQVaWNBqXMJLIvI1AYOaU58ozmPmetsO%2BlG5q4Nj3HxeLzm61yMHb%2Bz0Kb%2F%2F4cvPRjoAAU4%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",10 bids
SHOHEI OHTANI / BABE RUTH 2023 Topps Now MLB Card # 233,8.35,https://www.ebay.com/itm/204445454411?epid=15060772804&hash=item2f99e6104b:g:wogAAOSwgzVkscyU&amdata=enc%3AAQAIAAAA8D1AMFlAnSMTpRJYY5%2BRno3kARiDrzjzHjLm5%2FBJ8H8OyzrdOwvRpVoITd3dE6TuVpap6Vq8obwd9oYX7ZEtGTmoQtmH4sq6n6ls1Et7BJ%2F7rliBPB%2BQgXpZpSKes%2ByeI395zWCEr3%2FSawW5KO8TSZYMszKWDH9fNdRWXarnTzhOIOZJerlyDLZMeMStgRFai4ZXiQgXAmguKZczxfvYo1mWMUKNavIwykmUpYLGSToevTlAUPSfDy7AuGixHTccIgJ0vsLbF7dan1ZxPL0IkHEVY11SZq2eyPp9ihNsxiVGkwDEHY1etpHNeFDkCP9ujQ%3D%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",NA
Shohei Ohtani Baseball Card Lot,1.25,https://www.ebay.com/itm/335012912577?hash=item4e00535dc1:g:Fe4AAOSwVL1k8ofQ&amdata=enc%3AAQAIAAAA8LgpYBkKJ%2FsvnFpC2SekgalZGfMNw7gAy25s4n6Q1zfzkepTZFak5s94LrmUz0%2FM4%2FCUF%2FFFH4hjWdCqyUUdNXALq7rkBZ%2FHeJLDdYUrsSnrSlPMrEORP6QLn6NVqLzqfWEySju2CTDPctOQQlgjgCS2rn96eeX3M4zIWwCejcGL6Gg91KmYjFML0q%2BpYjtj2Z0GL%2BggkJ%2BXcVxB1khxoYVNOi75bI9Fk7NUg%2B0OH5vElMMNXLFiTuBP5VNz4SWuqAsOK3uH8tcgPR0heNu50thTrtAajSc97z3rJO7uiF81y9m1NoXjMqwzvjasQTiXEA%3D%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",3 bids
2022 Topps Chrome Black SHOHEI OHTANI On Card AUTO /50 Gold Mini Diamond Psa-8,899.99,https://www.ebay.com/itm/374912442023?hash=item574a85dea7:g:WqkAAOSwGTdk6UUC&amdata=enc%3AAQAIAAAA8Kqv5xRI8Y90xOwwvqEhc3u754m7nHjfU4t5%2FI%2BcKfhQs%2BAjeL6dfsUvaeRdDlIdyxdSjU3sNZTnmXj5lw4AhhLfjQBHWRQChW3D9Ajy0aQ633EUzF7Wi1pDVcfRC3uTTBtSue7JpK%2BFiq3mgX0Yl%2FCGg2a06I6%2F%2FiYT46s0qPaE9QZfDdaPczfdq%2Ba3m1GBATC%2Bm97eHMgNCN%2FeADLrJK9n6qEfGPZ6wAKd086W5oQsYA6gXRfo%2FIC3zKKltlAIkJJFCmzNCGrZMoLzGTtolrwvxjqu0wPQMXgmDF%2FKzrzzoaMHuK29Uz1Q9R%2BdzzMSZA%3D%3D%7Ctkp%3ABk9SR6KwrvzOYg,"Sold  Sep 8, 2023",22 bids
